polarity,text
0,wanted to go play some vball...can't anymore  gotta stay home all day again
0,i think that im getting the sick. 
0,"ugh, wasted time on another lost cause.  ... Beck - Lost Cause â« http://blip.fm/~7eaxd"
0,I just got up and feel like poo 
0,loves Keyboard Cat: Super Mario Bros edition. I'm now using twitter as an alternative to updating my fb status &gt;1 time/day. 
1,@CaserFace That's awesome Casey! Only news I read out of Sacramento 
1,"@paopangan He looked so gay in that ad, I think I already saw that too.. "
1,@eBeth I bow to Queen Nerdfertiti. you *are* always a step ahead. 
1,@xtingu need more coffee. When I first read that I thought it said &quot;can one ever have too many bogers&quot;. 
1,"just landed another wedding photography gig in August, happy out  "
0,is Extremely hungry! 
1,My new RX-8 in Need for Speed: Underground for iPhone.  http://twitpic.com/4yquj
1,@TYRESE4REAL http://twitpic.com/6e6lx - This is one of my favorite pics!Just beautiful 
1,Playing with play-doh with Faithers! 
0,Bleh. Nothing to do today 
1,@mariapetersen Of course I do. 
0,"@Lady_Twitster Not too bad thanks. Out for some physio soon, so I cannot stay in bed  you get the duvet wrapped around you? "
0,feeling sick and wondering if I should get out of bed to go throw up or just go to sleep... 
0,Ok this move is stressing me out! I just fell asleep again and woke up. Its like I'm completely exhausted!  
1,"@jlbbb143 heh, Thanks but I'm building a 1972 Blazer w/limo style seating. Not actually looking for a limo lol  And yes it's convertible."
0,is not keen for tom 
1,"@serialseb nice dsl post, don't 100% agree with everything but its gotten me rethinking somethings "
0,"customs are holding our container, so some of our customers can't go camping for Easter  Boo to HM CUSTOMS!!"
0,"The Show is Over  But Auditiong for Army Wives today, TSA Video shoot next two days and Another Audition for Equus on Sunday!!"
1,@gutuh Vi FRIENDS e agora estÃ¡ comeÃ§ando The Ellen Show especial. 
0,@charlestlee too long for an rt.  Think you can resend with a shortened url?
0,@amandapalmer Yay for t-shirt! Am unhappy i missed make-up this #LOFNOTC - was sulky and went to bed early. 
0,I'm just about ready for falling asleep. 
0,"@DelightDevine how was miss winona? sorry i didn't make it!  the new kitty, btw, is ADORABLE."
1,"@karenmorris By nodding, I presume you mean in agreement, not sleeping.  Is Linda on Twitter?"
0,is frustrated. jeremy last is leaving twitter. we just haven't had enough time to develop a twitterlationship... 
0,@jonskeeetskeeet Dude Tylenol is ineffective with headaches like these  I will need a new liver with as may I gota take.
1,Waiting to watch season 7 of The Shield its gonna be awesome!also cant wait for Transformers rotf 
0,Studying for finals. I hate school. A lot. But maybe i shouldnt wait untill the last day to study for 2 finals 
0,last foster's are coming on tonight.  
0,miss u sis 
0,"should be leaving for indy right about now, but sold all our tix  have fun at #phish all, see ya in august in chi-town"
0,"@lauryqui  we're gonna miss you. dont worry, there will be more for sure!"
0,"Uggghhhh allotropes, nanoparticles and buckminsterfullerene "
1,@MunkeeZero I love that song. 
1,@captainnathanj: Hahah!  That's awesome.
0,"I'm sick, and I stayed at home today too ... "
1,I updated my livejournal! check it out here!  It is very awesome.   p
0,"Dáº¡o nÃ y náº¯ng nÃ³ng, ÄÃ´i lÃºc mÃ¬nh nÃ³ng náº£y má»t cÃ¡ch vÃ´ cá». Biáº¿t mÃ  khÃ´ng lÃ m tháº¿ nÃ o Äc. "
1,"Work tomorrow, "
0,going out of town next week until the whole month of may 
0,false alarm guys.  i found out I work the WORST POSSIBLE SHIFT tomorrow: 12-5. NO HAIRCUT FOR ME lolz. (why does this happen every time?)
0,@30yearoldtwifan HMM.... well thinking like sherlock would..... in new york 
0,*(^#*^*($^)*&amp;&amp;((@&amp;&amp;^&amp; Car broke down... just got towed to garage... this is gonna be an expensive one 
0,"Another late night with no sleep in sight... poor puppy Blue gets his gonads removed tomorrow morning, and I have to take him.  So guilty "
0,"Aw, my tattoo is buring like a motherfucker ugh and i miss someone already "
1,"@aTexasAttitude I completely agree, no amount of $ in the world! Much better to watch the train wreck from our livingrooms "
1,Is Going Chingford 2 C Auntie And Get Some Jeggins 
1,LOL... I just realized how this works! No i haven't seen HAIR...... I would love to see it someday... 
0,After all this macy drama  today was a pretty good day!
0,So bored cant sleep 
0,"@DLDAVID no  was supposed to..had ticketst n evrythn...in the end, came down to parents wasnt allowed "
1,"sitting next to robin while telling me what to write about, and messing with joe is fun "
0,"Baby update:  Docs say Mia has minor hip dysplasia, due to being breech. Will need to wear a leg brace for 6 weeks or so to correct it.  "
1,sims 3 sims 3 sims 3 sims 3 sims 3 sims 3 sims 3!!!!!!!!!!!!! you know where i'll be 
1,"#ff @LorenaHeletea good tweeps.  positive, inspirational. "
0,Feeling a bit odd today 
0,Tuna on its way to being wiped out by 2012   http://bit.ly/N0MiV
1,@spumeze LOL! can you see dat Homie? 
1,"Mothers are Awesome. Tell yours. If you are one, hope you are made to feel Awesome today. "
0,Good morning Tweets! Gotta go to work 
1,@amilya write it down  -priceless... out of the mouth of babes... 
0,I think I am getting sick again 
0,"@bmanley LOL, yeah, sounds good! Sorry about all the whinging.... "
0,"Sleeeepy  But no, I can't just sleep whenever now :|"
0,@SNNotAvailable I can watch it in the middle of a tsunami?! Alice is under my sofa CRYING and I can't get her out. 
1,had a good day 
0,"@jtbritto i dunno, i just feel like i've got nothing else to talk about, or even the time to talk to anyone anymore  its this feeling"
0,i wish i got a loan today  or rather someone put a large amount of money into my account and never qanted it back
0,"@tamij I'd like to be here, but I'm still missing.  #hhrs"
0,"@ohgeezitssam Yeah, they played it a lot on HBO. During the weekends and stuff, but now they stopped showing it. "
0,missing drew  heading to bed.
1,@clarescoffee So excited about your @envirosax bag!!! Can't wait to order one for myself! 
0,made the mistake of having lunch. now i should wait for food to digest before crunches... tho i need to shower  .. SEINFELD
0,@lexory none of them accept Paypal either 
1,I don't think my bed ever felt so goooood  http://myloc.me/11mK
0,"I miss my giant pearls &amp; am sick of wearing this little, regular-sized, punkass ones. "
0,"Going to bed, strangely feeling quite nauseous "
0,I said I was going to sleep in till about 11. It's quarter to 8. I fail. 
1,@urbanfly @dalevich thank you both so much. (hugs) I appreciate it x 
1,@geekstar im unemployed! I am SO turtle care provider now! 
1,"Tom watching the Grand Prix, the Sunday Times and a cinnamon whirl on my lap. Green tea cooling gently. Bliss. "
1,watching west wing series with girlfriend. 
1,"@Girl_In_A_Box Haha. I'm a blip a few here, I have to get credits "
0,Morning Neverland! lol I really hate getting up at 7 on Saturdays for work  lol
0,I miss my friends. 
0,"this kfc burger is making me feel sick, the bacon isn't cooked and the meat tastes ewwey  considering I work there I'm not surprised.."
0,"I wanted to try to wear shorts tomorrow, but I couldn't find any that aren't too big on me  #chickenlegs"
0,OMG why does everyone judge? Oh and I am getting tired of people shopping during SALES dont they know thats when I shoo??? 
0,watching high school musical 2 on disney channel. getting kind of bored 
0,I've messed up my weekend rhythm. I think I've grown old. Well I guess this means I've actually have time to for study today. 
1,Later twitters I am out. Going to c my bros house tomorrow. Night y'all 
0,"the green overlay doesn't really well with my twitter avatar, which is multi-colored and partly green to begin with.  rats. "
0,@RebFace no ï¿½_ï¿½ 2 maths ones on friday 
1,@rexyjolly yup  bakit nirecruit ka? sa star records/cinema yan. hehe.
0,Popped my caps lock key -probably a miss-hit from WoW -Can't get it back on though 
0,Just woke up. my neck hurts 
0,"watching the Tony Awards, not ready to hit a hectic week tomorrow "
1,. I got my nape pierced 
0,@chialp ohhh!!!! my broforce me to see Fast and Furious Tokio 
1,@staceyrebecca Sounds like you had fun 
0,@bobbinrob your still working? Oh that sucks 
1,My friends made me join twitter.. so here i am  hows everyones day so far?
1,"@replete cool man, thanks for mentioning sencss! "
0,my fingers r sore from playin too much guitar 
1,now** sorry... and I can't wait to hang out with Shawn 
0,"@PaulaAbdul -Never been overseas - we always went to Old Orchard Beach, Maine every year.  Nothing better!  Hubby's too sick now "
1,"Twit anywhere, twit anytime, twit just because of... i luv twit "
1,"1,396 words written, not too shabby "
1,@ToddBrink Dude. You rock!    Thanks 4 the mention  xo
0,@Dollface01 I know  so sad!!!!
1,@walkerama Clearly you suck at the internetz 
0,"@tebergin I am actually starting to jog/run to try and get fitness up a bit since stopping smoking in January, no starbucks near me tho "
1,Iced coffee as we invade steps that aren't ours with @itsyella  sunday ritual... Then we'll proceed to claras house for brunch.
0,@phete I just tried in 0.5 experimental and framework 'webkit' works fine. I don't have 0.4 installed tho 
0,Blahhh feel like shit and have tons to do tomorrow 
1,I'll wait till the US open to re cycle all my golf jokes i posted during the masters 
1,the mtv awards were awsome last night..miley won an award (YEA) and twilight won 4 best movie GO TWILIGHT!! 
1,@suzannekim you should come visit me @ knotts tomorrow! 
1,@aplusk oh cool your on digg too  http://digg.com/users/atothekutcher
1,Ready for printing!  #bachelorthesis
0,fml im stuck watching some abs. HORRIBLE  choir performance while honor society did saynow calls.  so not fair
1,@Mgpotter You're cute 
1,@diana_music ooh nice! have a nice day  oh yeah.. northern ireland anytime soon ??  xxx
0,I hasta go to the dentist today 
0,@TraceCyrus  i miss you 
0,Depressed now... I feel like an old hag and now I have the gap toothed grin to match 
0,"@tommcfly Arwhh, feel better soon (Y) JLC wont be the same tonight though  I am in food tech atm ;) weeeheeyy  have a lovely walk. x x x"
1,So not worth it can't wait till summer  NEVER AGAIN 
1,"It's 4:14 AM, and I am ready to start my day.  Eyes popped open around 3:45, so I figured might as well read,  as lay in bed "
0,my search was unsuccessful 
0,why do I feel left out this convo? lolll oh cuz I didn't go to church huh 
1,time for me to go to bed....hopefully i fall asleep quickly. gooooooniiiiiiight world. 
0,"@Meli_Dee  yeah I think I know, but not ready to deal with it  sorry for partying!!"
1,Yo how we lost!? Smh @ least I look cute in the front seat! 
0,off to another exciting day at work.  i hate my job! fml: off to another exciting day at work.  i hate my jo.. http://tinyurl.com/qka9cv
0,I hate packing 
0,Thinking about getting a mac... Don't think I can afford one tho.  
0,@ignorethesun so I continue to suck at life then. why put up with me? 
0,The ants got into the cookies. Now they are contaminated with ant. I am sad 
0,"@grenamier No.  My mom is superstitious, so I have I wait until they get home. Did you get to see the baby?"
0,@Courtney_SODMG South Africa.... thought i told u !!! lol it was coold!! ughh 
0,@BlakelyJames (not his real name) is sick for his wedding  . Trying to come up with bachelor party plans that include a sick groom.
0,believes that @MrHudson Everything Happens to Me is so my life today 
1,@Tldonline I will I will! .. Don't rush your ASS OFF he! ;-) Keep it on you! :-p Veel plezier met repeteren.. 
1,@kayjp he has a a little to do with it. 
1,@realreporter It will if that's where they choose to do it 
0,lunch is gonna be cheese chilly grilled sandwich. Mt first day at O&amp;M- they took me out for lunch at Bowling Co. No such luck here 
1,Meetings and interviews galore in the city! Wish me luck  http://myloc.me/3VNx
0,is it wrong to have a second lunch????? I'm Hungry still 
1,@lisababy182 on my way. leave the light on. 
1,"My clock off? Local time is 5:44pm, fyi. "
1,@shanedawson good tv no longer exists!!! thats y there's youtube 
1,"wants to drive around Redlands at sunset, put on some good music, and feel the cool breeze on his face, while the palm trees sway. "
1,"finders keepers, the whole thing is a lie. "
0,hittin the road dead baby dear on yv 
1,@ashleegaston If you want to see someones comments you can just follow them 
1,"@bvhk it did. More than MS Word recovering, I was worried about myself. Both recovered  BTW you coming for alumni meet on Sunday? @awtaney"
1,@NathanFillion Congratulations - the curse is over 
1,FOUND IT!!!!  LIFE IS GOOD
0,"okayyy, so this is when my computer starts being a dick-face and I can't finish watching season 1. :O "
0,Time for riding after 2 days break!  Think I should wear my ugly helmet for protection of my life 
1,@shbadr no problem - how are you today anyway Sarah?  hows business?
1,I feel like everyone else has done this.... but I'm going to drink to my 21st... now. 
1,at a wedding. 
1,@jonasbrothers http://twitpic.com/5gamv - COME BACK!!! jaja 
0,It's not fair some lil boy with a grey patch talked to my bestie and I haven't talked to her since 6am  he better not be stealing her ;)
1,"@paulbradshaw i use it all the time- recording interviews, backup camera, even for publishing. Tweeting from it now. "
0,@BrandonPzy ummmmm! why didnt you call me yesterday! 
0,sleeeppppy  going to a mall .. sometime i dunno. i miss my baby. and am sick of this drama . 11 days of school.
0,IS IN NEED OF SOME FUN 
1,@honeyb1104 I love the phrase &quot;Ass Meat&quot;. Nicely put. 
1,@chainmaille - pretty! I love natural materials 
1,Thanks again for the A-MA-ZING sleepover yesterday and today  You're amazing! xx
1,about to have dinner with some of Voltron 
0,@MusicalityMan  Wish I could get a mac QQ 
1,@Mjamme Think you should 
1,@dajbelshaw excellent 
1,http://twitpic.com/6prvk - My dinner tonight  yuuummmyyy
0,"Hoping Space Shuttle Endeavour launches, but so far fueling is delayed due to a storm on the launch pad  http://tr.im/oK1H"
0,@lukepownall stoked!  I really need new bearings 
1,Got my new phone.It's the new Samsung Alias 
1,ok for real all nite nite 
1,@joycesmith such a tease! 
0,at home with my son...another rainy day 
1,@mongrelstyle lol...I would love/appreciate that 
1,"all the Rolls-Royce people are now gone, off to drive the new car around the track...all they have left behind is uneaten pastries, sweet "
0,...gonna read again the cases assigned by our law professors 
0,@resistapathy can't find it on blip. 
1,@sengming whoa steady there mate don't fall down 
1,"@Jovanim Lol...hella late, but  I kno. That's what I do... "
0,Our time at the Y got cut short  - http://bnup2.com/p/575784
1,"@TxSlainte  Actually that's the best philosophy - less stress - I'll go for that. If it happens, it happens ... "
0,It's now 30 degrees in this room - way too hot to revise  Cooler in the lounge but no revision there due to housemate watching HSM
0,@Zeenat_x @rkb09  I knoww..I lovee it =D Wannaaa go summertime ball and hear beat again liveee  Someone best record a good version !
0,abit mad 
1,drinking with Alisa and Phil! 
0,@suvanaa oh  what have I done?
0,"http://twitpic.com/5f40p -  sorry i have only movies, that was the only pic i had from abu dhabi concert, arent u coming back to UAE s ..."
1,"Just got off work, going golfing &amp; dinner with friends. A banner day here in the Twin Cities - Sunny &amp; 70 -  Have a good evening  Four !"
1,more phone calls from my boss this morning.  tax ride off lol
1,"@mariorivs i hope the day is coming soon  thanks, man!"
0,I hate sleeping in that late.  Not good. Gotta do lots of stuff today.
1,@bbheaven 
1,jus chiilaxing in the garden 
1,in my jammers already and its only 20 past 3  love ittt
1,Will be getting a new cell phone. Yeahh. Nothing like a 300 dollar graduation check  Thanksssss
1,Here at twitter again BORED again. Just finished watching DEVILS ARITHMETIC The movie was fantastic!  It made me cry) :| )
0,"@DPrince2124 I'm just playing LOL. I get sleep....well ENOUGH sleep anyway, even though I randomly wake up around 3 every morning "
1,"@iamHimself I'm pissed I broke my camera tho...oh well, back to disposables! LOL!  I have classes to pay for."
1,today got her POP! t-shirt &amp; lovess ittt  haha x
0,Too hot in my apartment. No sleepy. 
0,Got new paramore poster &amp; stuff. They didnt have the mcfly one thats on the hmv website  going to dads now 
0,liked to go to the beach but we didn't 
1,Recovered from 4/20 
0,"@KatWilton I had a panel decide to keep or toss clothes, me retaining veto power. There were a lot of hard decisions in that shoe bag. "
1,Now I'm watching Nights in Rodanthe.. I love Diane Lane and Richard Gere together. 
0,@nvmyrtle  I'm sorry. Wish I had the opportunity to be bored! What does that feel like? Haha.
0,impossible to sleep early... too many things to do... 
1,@kimberlyramos failing takes skill and no one appreciates it 
1,"@NoRainNoRainbow like, i wanna meet kage so bad!  and andy is just awesome. don't know the other guys well enough. save hott mix "
0,got my iphone! only had to stand in line for like 10 minutes. but i still don't have any service 
1,http://twitpic.com/5oorc - stupid ^^.. dnt mind my face. haha 
0,IS taking Colin to the waterpark today. Then work at midnight 
0,"I misplaced my iPod,  or it got stolen, most likely the first choice, but one never knows."
1,@elviraAfterall That's the plan  ... soon 
1,right am not sure now - maybe not at 11 at night = need something cheerful maybe! 
1,"@Jo_whit aw thats nice  glad you had fun, whats phase 2?"
1,"@Lates i went for pancakes, we didnt have any bagels which was disappointing! but pancakes were lovely "
0,@thomaszander Thanks. I cud not find koffice2.0 for fedora 10 repo. moreover my entire KDE is built on src trunk  ..
1,"@missindigoblue I'd be delighted to plow you sometime.  (oops, that was my outside voice wasn't it?) um yeah, garden trade sounds great! "
1,"nice K went from dancin with tunes from gol, to dancin with supas tunes hmmm!! "
1,is new at twitter.....already addicted! 
1,@aaronrlucas why thanku!! - great to be back 
0,I wish I had/could use earphones at work so I could catch up on Emergency Pants 
0,having a breakdown.  
1,"Going to pick up the kids from school Online shows Scotty having 39k in chips...when he calls, I will give a chip count update "
1,@ipe Lunch: Five crackers. PANIS! Hahaha. Joke lang. 
0,@swash1 being dropped off very soon...he gotta work  I don't care tho jus gimme my bottle! LOL
1,Makin' Chocolate Chip Muffins...  Sometimes I'm so gosh dark domestic it hurts. 
1,this is shauna and aislinn hacked into your account. 
0,My mommy burnt me with really hot grease in my wrist!! 
0,The European PSN Store update is rubbish this week  I don't know what I wated but it wasn't that stuff!
0,I wanna have a french vanilla coffee with Niki!! 
0,"I can't believe it...They actually love the PANIC dance?! Sorry to say that, but it's real disappointment "
1,@CaptainAndreas Gift me please 
1,"off to school, the home for some AP studying! "
1,yay! caprisun. i love those... fruit punch is my favoriye 
0,wow don't take life for granted ppl... pls think twice b4 takin drastic measures 
0,"@jbmcdlts bk over for the concert the next week, i wish i could of flown out for that on the friday, but couldnt cause of work "
1,good morning! it's still raining and i'm proudly saying i'm still in bed  any suggestions on good movies to watch for a rainy day?
0,I'm at home all week due to twisting my knee at weekend. I can barely walk 
1,Cosmic bowling at oak tree 
1,@wo_ai Isn't Shopgirl too famous to be a mystery shopper? 
0,@yaneri because I texted you and you ain't respond... 
0,"nothing annoys me more than when music vanishes off spotify  bye bye cassius, you shall be missed..."
0,Cameron leaves tomorrow  &amp; I'll probably never see him again.. Oh bother.....
1,@mayhemstudios have you trace the spammer? can i see the avatar? 
1,@ColorblindFish love the pics.. I love watching everything being set up and the sound check and all that stuff.. very cool.. 
0,Is wondering why there is only one gas station in her area.. 
1,Perks- McDonalds delivery....Mmm!  I guess kitchen staff can chill til lunch.
0,Now Playing: Long Distance by Brandy 
0,"@mbedsvaag aw welcome to my world, motion sickness has become a close friend of mine..sorry the bullet has let u down "
0,"@Klowner its a style, not a speed. its still a jeeeep after all. (weird @twidroid repeat fail, and eating of my paste buffer  ..)"
0,extremely bored. 
1,@DogReader Just sent u a few ideas! Will send more l8r 2day! 
1,cake time. haha. 
1,loves david so much more! :&quot;&gt; 
0,@hiway ack! No!! My system reacts badly to cool liquids &amp; ice 
1,@jordanknight @BJoie @Mels82 @megspptc Your Seekers are patiently awaiting your tweet Please make us S.A.F.E. 
0,so i'll just be waiting here for 14 hours for my music to copy on to my other computer.. 
1,Rabbit Rabbi. Praying for a great start of summer 
1,happy mother's day!! 
0,Can't sleep and I have to get up early tomorrow 
0,@krissybri everyone hates my lakers 
0,@herexception cereal always makes me hungrier than I was before I ate it 
1,@rebeccashearing Hi Lynne  Can't wait for your next song 
1,"@solangeknowles intelligence, humor, respect, loyalty, easy-going "
0,@Hyperguy20 You should be following me 
1,"@OHYEAHmikeman hahah thanks,  byeeeeee, &lt;3"
1,@RedBaff good to hear  it's a bitch but fight thru it!
0,@LaYeNNy  yes they were
0,Great...I've managed to annihilate my smiling face from the twitterverse in my eagerness to upload a new pic &amp;  @twitter has no solution 
1,Summeer Camp waaas...Awesomee  loveee it &lt;33
0,@215tayyib how come we didn't meet/cross paths @ Dilla party last nite?  
0,I dont finf the fu*kin lcd screen for my blackberry 
0,"@Sarah_Rowlands i wanted to go to the hussein chalayan exhibition, but i think today is the last day  i meant to go weeks ago"
1,"@doyouspeakwhale hehe you will be fine then, all go very quick. just let me know when is best "
1,@ILykeGurls Good afternoon 
0,Getting ready for work.. Yea! 
0,there. every text deleted 
1,@rhenadeary | me too! 
0,We were supposed to get married tomorrow...    
0,@murphyusa why aren't you following me you bastard?! you're my own brother... 
1,My friend come to my room 
1,"@jeff_gluck exactly...there's plenty of possibilities that could make it exciting today, maybe that'll work out for us "
0,@babyd510 http://twitpic.com/687wm - MAN I WISH I WAS THERE RIGHT NOW LOL 
1,@utku I book-faced you. Anyway 7pm Shoreditch house. Your name will be on the door. See you there 
0,"Getting ready for work.. if you feel like getting ahold of me for some random human interaction, text or IM me via mobile. No more Meebo "
1,"just got back from @mowleynah's house, had so much fun! "
1,"If you guys know of any PRO LIFE youth groups in the Philippines, let me know and hook me up with a contact "
1,WOW! Oriented already with basic surgical instruments. I should get ready for the quiz tomorrow! YAY! 
0,Hmmm... Still unsure about Bento for the iPhone... Excel/Numbers imports and a landscape spreadsheet view? I guess you need Bento Client 
1,"Me, Cody and Sarah are heading to PCB "
0,"courtneys baby is so cute i want one asap, damn life getting in the way of my wants "
1,@JoeGarde you need a bit of gravity on that n95 dude  yeah good night
1,Daisy Joan Stockley - born 0623 31/5/09 - 9lb 1oz  - Mother and baby doing well 
0,gym! yay! then gym shower! major yay! then work  then dentist appointment at 10 *scared*
1,3.20am ?!?! oooh. ok. must go to bed.I have to wake up early. my new COOOOL livingroom accessory will be delivered in the morning !! 
1,Aww.. lafayette is back   yay!
1,@Alissa814 awww cheer up... I hope everything works out in the end for u 
0,London is so rainy today  It's rainy everyday. I wish I lived in New York or something...
0,@Guolfo goooood luck! today mine was late! 
1,@RickJewelz LMFAO! wooow but thanks for the followw too babes 
1,@crazeegeekchick Thank you for following me! I look 4word to learning from u and sharing w/ U. Finally some1 close to home  - Joe
0,"Just read the tweet from @scifi_channel, looks like I'm gonna miss Knight Rider again  oh well plenty of time left to catch the re-run."
1,@carolinee82 teeeenkiu!  love you &lt;3 Sweeeet dreams!
1,"is multitasking.  Watching Sadie, doing laundry and making bows / flowers for my Sadie's summer outfits!  Fun, fun, FUN!"
0,@eambroise88 no? whats wrong w/ it......... igh i want the damn update soooooo bad! 
0,Driving on the motorway in midday sun has given me &quot;driving arm&quot;. I'm not keen on one arm being browner than the other 
0,"OFE get's sick, HOLLYSHIT "
1,@Pepperfire Is it Friday yet??  How are you baby?  #tweepletuesday #followfriday
0,actually hates sharing birthday with Edward Cullen 
1,Playing online poker and waiting to go to paris 
1,Happy May Bank Holiday British Peeps 
0,effffffff... I'm smart enough to earn scholarships I just have trouble finding them 
1,"@heycassadee http://twitpic.com/6ppn4 - Your so stunning cass, beautiful , I love the way you look and who you are "
0,"@Cheep_Tweeter Chucken fail  Only small,frozen selection. Premium for corn-fed, free-range, small portions too. Foodtown it is I guess"
1,Can NOT wait to spend the enjoy the weekend!!! Can't believe it will be 1 year with the boyfriend on Tuesday! 
0,"eeeeeeeek, just had a wasp or bee trying to get in my room! this is one thing i hate about summer "
0,Aw man Im going to miss that dog  #theroadworrior
0,"@Wexx Nice! I played the bari briefly in junior year of highschool, but then I quit band again for sports "
1,@jess_suwandi  jesss..kenyangg abisssssss....n ngantukkk....wannt the photoossss  
0,@KatyCorbeil that suckssss  i'm freeezinnn!
0,"AHHH. SHIZZZ. - I HAVE A FREAKING 37 FOR MY TUMBLARITY!  IâM SAD NOW. â¦and, i have a shorts tan. lsekoiak. http://tumblr.com/xyx25f2cn"
0,My fish 'Pinky' has died. Im sad. 
1,making latkes! great success 
1,is going to tpc today to watch tiger play...and hang out w golfers 
1,@lil_meg_91 OMG that was like a HOT picture of soul glow and his new haircut 
1,@davidgeller it's like Christmas eve. 
0,@savsav Thats good.. The counsellor wouldnt change my english class 
0,Doesn't like it when psycho lying ex girlfriends stalk me and find my work number and call me unexpectedly at work. Im still shaking 
1,"@megux you should have your own reality tv show, instead of ace of cakes, ace of cards. Each card should be 200$. "
1,Conan did not disappoint 
1,@stevepuma and happy to meet you too 
1,Thank You God for a beautiful Saturday! I'm enjoying my study time wi Lil Bub by my side. Then afternoon lunch date w/ my handsome honey 
1,@jordanknight Wait til you get to St. Louis and Memphis! It sure is HOTT here! 
1,@SevenPly i like your concept! very clever 
0,Breathe in2 me O Lord! Havn lung issuz again 
0,I hate twitter!!!!!!! 
0,Just got in from a not so eventful night out.  Not eaten for 21 hours and feel sick as for it 
0,baby Jeff has a little cold!  taking care of him then off to Leesburg to meet the family and get my hair done.
0,Gotta go to the doctor this morning  i feel so sick right now. i can barely talk but i'm still yelling across the house lol
0,my tweetdeck went MIA again 
1,@Steph996 hey! this is 0simplyunperfect0 from youtube!  didn't you love that channy promo sonnycentral put up?
1,@colesprouse1 hi Cole 
1,@dayfan Ð° Ð²Ð´ÑÑÐ³ Ñ? ÐµÑ Ð·Ð½Ð°Ñ? 
0,@hannah_obrien I only wanna be onit so I can go to L.A and stay there till sound and fury 
1,Just watched 3 parts of R&amp;H's Cinderella 1965 and now I feel smiley. Thanks Youtube. 
1,Had an awesome Birthday today.  
0,@francescalucy oh ok then  i shan't get my hopes up then.
